time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM,Class
0.058,0.920,0.840,0.255,0.467,0.851,0.860,0.214,0.146,0.713,0.594,0.659,0.527,1.000
0.156,0.920,0.420,0.259,0.514,0.839,0.877,0.262,0.066,0.771,0.636,0.826,0.608,1.000
0.010,0.920,0.840,0.269,0.561,0.821,0.877,0.170,0.217,0.802,0.603,0.917,0.622,1.000
0.104,0.920,0.252,0.283,0.598,0.849,0.870,0.329,0.030,0.737,0.587,0.856,0.635,1.000
0.003,0.679,0.420,0.278,0.477,0.819,0.854,0.281,0.066,0.758,0.473,0.841,0.689,1.000
0.050,0.920,0.420,0.245,0.542,0.829,0.879,0.237,0.056,0.792,0.530,0.735,0.676,1.000
0.027,0.273,0.420,0.269,0.383,0.666,0.706,0.435,0.212,0.722,0.578,0.955,0.703,1.000
0.152,0.920,0.664,0.226,0.720,0.818,0.861,0.179,0.045,0.773,0.255,0.811,0.568,1.000
0.019,0.920,0.420,0.241,0.355,0.848,0.911,0.372,0.086,0.824,0.561,0.848,0.635,1.000
0.057,0.920,0.840,0.236,0.486,0.804,0.864,0.208,0.141,0.803,0.487,0.379,0.351,1.000
0.071,0.724,0.420,0.203,0.449,0.790,0.827,0.208,0.096,0.755,0.626,0.848,0.581,1.000
0.047,0.920,0.840,0.250,0.495,0.860,0.905,0.242,0.086,0.791,0.677,0.811,0.527,1.000
0.021,0.273,0.420,0.241,0.467,0.812,0.878,0.397,0.106,0.819,0.292,0.659,0.527,1.000
0.060,0.920,0.420,0.264,0.411,0.791,0.829,0.309,0.086,0.756,0.568,0.765,0.622,1.000
0.171,0.920,0.420,0.269,0.505,0.702,0.782,0.167,0.131,0.817,0.410,0.705,0.500,1.000
0.134,0.522,0.420,0.292,0.505,0.813,0.875,0.251,0.101,0.812,0.560,0.795,0.622,1.000
0.154,0.687,0.840,0.250,0.542,0.807,0.867,0.319,0.136,0.807,0.697,0.803,0.541,1.000
0.312,0.536,0.531,0.288,0.542,0.830,0.865,0.238,0.106,0.760,0.528,0.788,0.649,1.000
0.129,0.920,0.420,0.269,0.383,0.720,0.727,0.349,0.288,0.671,0.360,0.886,0.608,1.000
0.057,0.697,0.420,0.278,0.589,0.835,0.900,0.184,0.167,0.824,0.632,0.894,0.662,1.000
0.283,0.273,0.840,0.255,0.682,0.822,0.869,0.235,0.101,0.785,0.412,0.902,0.635,1.000
0.070,0.920,0.840,0.259,0.645,0.773,0.835,0.146,0.172,0.800,0.327,0.902,0.662,1.000
0.069,0.648,0.481,0.255,0.449,0.792,0.851,0.358,0.066,0.799,0.461,0.841,0.635,1.000
0.135,0.920,0.420,0.288,0.411,0.789,0.856,0.426,0.035,0.815,0.495,0.758,0.541,1.000
0.221,0.731,0.840,0.283,0.570,0.757,0.817,0.234,0.207,0.791,0.266,0.780,0.581,1.000
0.126,0.920,0.420,0.297,0.533,0.823,0.822,0.351,0.076,0.686,0.755,0.864,0.635,1.000
0.079,0.920,0.420,0.245,0.495,0.834,0.875,0.273,0.061,0.774,0.542,0.758,0.554,1.000
0.128,0.920,0.420,0.316,0.505,0.776,0.779,0.320,0.121,0.681,0.721,0.803,0.486,1.000
0.069,0.920,0.420,0.274,0.421,0.808,0.770,0.438,0.126,0.605,0.772,0.811,0.662,1.000
0.054,0.920,0.420,0.255,0.458,0.833,0.845,0.353,0.035,0.715,0.374,0.826,0.595,1.000
0.064,0.920,0.420,0.264,0.514,0.827,0.785,0.274,0.162,0.602,0.690,0.848,0.554,1.000
0.228,0.920,0.420,0.264,0.458,0.844,0.884,0.500,0.040,0.775,0.240,0.909,0.662,1.000
0.052,0.273,0.420,0.274,0.430,0.870,0.874,0.468,0.015,0.709,0.278,0.795,0.635,1.000
0.075,0.920,0.420,0.283,0.383,0.826,0.855,0.153,0.167,0.748,0.354,0.606,0.541,1.000
0.065,0.920,0.420,0.236,0.430,0.837,0.825,0.353,0.141,0.668,0.544,0.591,0.635,1.000
0.159,0.920,0.420,0.283,0.467,0.773,0.756,0.347,0.116,0.638,0.489,0.803,0.662,1.000
0.077,0.920,0.840,0.307,0.411,0.652,0.684,0.351,0.278,0.703,0.326,0.886,0.649,1.000
0.075,0.273,0.420,0.264,0.458,0.739,0.732,0.463,0.096,0.649,0.543,0.545,0.311,1.000
0.144,0.920,0.334,0.274,0.505,0.822,0.851,0.361,0.051,0.747,0.536,0.765,0.649,1.000
0.128,0.823,0.569,0.259,0.495,0.835,0.865,0.173,0.101,0.751,0.542,0.856,0.595,1.000
0.054,0.920,0.420,0.259,0.467,0.779,0.865,0.206,0.076,0.852,0.361,0.856,0.635,1.000
0.083,0.677,0.497,0.241,0.430,0.822,0.840,0.320,0.157,0.726,0.399,0.652,0.541,1.000
0.139,0.920,0.420,0.269,0.477,0.864,0.893,0.343,0.045,0.758,0.450,0.735,0.622,1.000
0.058,0.828,0.420,0.274,0.467,0.850,0.888,0.224,0.081,0.773,0.419,0.871,0.608,1.000
0.337,0.920,0.840,0.274,0.598,0.852,0.888,0.153,0.131,0.771,0.553,0.811,0.554,1.000
0.068,0.678,0.420,0.259,0.383,0.890,0.916,0.299,0.086,0.760,0.264,0.879,0.635,1.000
0.062,0.573,0.486,0.278,0.346,0.814,0.843,0.185,0.141,0.744,0.598,0.659,0.608,1.000
0.073,0.720,0.840,0.269,0.579,0.903,0.937,0.319,0.121,0.781,0.599,0.591,0.514,1.000
0.084,0.920,0.840,0.245,0.411,0.812,0.814,0.374,0.157,0.687,0.348,0.848,0.581,1.000
0.005,0.920,0.420,0.269,0.477,0.779,0.832,0.322,0.051,0.782,0.547,0.841,0.595,1.000
0.230,0.273,0.722,0.245,0.430,0.794,0.845,0.241,0.076,0.784,0.409,0.629,0.446,1.000
0.056,0.668,0.473,0.269,0.495,0.818,0.866,0.159,0.111,0.786,0.391,0.886,0.649,1.000
0.067,0.920,0.840,0.250,0.467,0.857,0.882,0.234,0.177,0.748,0.150,0.659,0.527,1.000
0.056,0.920,0.420,0.292,0.523,0.812,0.848,0.291,0.116,0.758,0.578,0.652,0.419,1.000
0.017,0.920,0.840,0.208,0.393,0.763,0.646,0.351,0.237,0.429,0.470,0.485,0.541,1.000
0.075,0.920,0.420,0.278,0.421,0.696,0.776,0.248,0.141,0.814,0.320,0.871,0.581,1.000
0.056,0.920,0.420,0.292,0.523,0.812,0.848,0.291,0.116,0.758,0.578,0.652,0.419,1.000
0.451,0.565,0.739,0.245,0.430,0.837,0.893,0.282,0.111,0.807,0.481,0.856,0.595,1.000
0.367,0.273,0.420,0.292,0.523,0.776,0.843,0.187,0.066,0.810,0.268,0.909,0.676,1.000
0.064,0.273,0.401,0.311,0.449,0.779,0.823,0.251,0.146,0.765,0.702,0.492,0.459,1.000
0.152,0.273,0.840,0.212,0.645,0.807,0.853,0.228,0.061,0.777,0.441,0.765,0.514,1.000
0.131,0.668,0.420,0.255,0.486,0.808,0.871,0.334,0.177,0.812,0.422,0.727,0.608,1.000
0.072,0.273,0.840,0.231,0.355,0.629,0.654,0.289,0.303,0.682,0.167,0.924,0.676,1.000
0.075,0.920,0.420,0.226,0.430,0.867,0.878,0.333,0.056,0.723,0.362,0.871,0.581,1.000
0.057,0.920,0.840,0.269,0.402,0.733,0.780,0.285,0.222,0.758,0.412,0.515,0.608,1.000
0.069,0.737,0.420,0.274,0.355,0.763,0.809,0.401,0.071,0.765,0.494,0.795,0.676,1.000
0.204,0.920,0.840,0.269,0.477,0.814,0.853,0.139,0.237,0.765,0.321,0.697,0.514,1.000
0.093,0.273,0.840,0.274,0.570,0.811,0.836,0.155,0.101,0.735,0.255,0.689,0.541,1.000
0.128,0.920,0.420,0.264,0.449,0.812,0.839,0.179,0.136,0.740,0.486,0.508,0.459,1.000
0.083,0.920,0.336,0.193,0.393,0.835,0.826,0.379,0.106,0.671,0.608,0.765,0.541,1.000
0.069,0.273,0.420,0.302,0.467,0.817,0.868,0.279,0.071,0.791,0.834,0.856,0.743,1.000
0.150,0.920,0.840,0.302,0.393,0.698,0.711,0.212,0.222,0.678,0.695,0.455,0.581,1.000
0.135,0.920,0.564,0.292,0.458,0.788,0.759,0.181,0.278,0.617,0.695,0.515,0.568,1.000
0.131,0.920,0.584,0.175,0.542,0.851,0.906,0.157,0.106,0.809,0.448,0.818,0.446,1.000
0.073,0.920,0.420,0.245,0.467,0.831,0.850,0.304,0.035,0.729,0.850,0.848,0.635,1.000
0.002,0.273,0.420,0.241,0.626,0.779,0.862,0.207,0.086,0.846,0.265,0.811,0.662,1.000
0.053,0.614,0.420,0.245,0.374,0.824,0.866,0.339,0.106,0.774,0.337,0.659,0.486,1.000
0.083,0.920,0.420,0.212,0.411,0.859,0.876,0.484,0.116,0.734,0.620,0.659,0.378,1.000
0.047,0.920,0.420,0.325,0.430,0.822,0.848,0.292,0.045,0.740,0.405,0.674,0.595,1.000
0.058,0.920,0.420,0.203,0.374,0.857,0.858,0.346,0.141,0.700,0.254,0.811,0.541,1.000
0.384,0.920,0.420,0.255,0.449,0.829,0.862,0.408,0.020,0.756,0.640,0.894,0.635,1.000
0.121,0.542,0.420,0.231,0.467,0.778,0.805,0.334,0.126,0.730,0.577,0.811,0.568,1.000
0.082,0.273,0.840,0.283,0.495,0.792,0.847,0.226,0.172,0.792,0.324,0.545,0.568,1.000
0.088,0.920,0.840,0.264,0.505,0.831,0.865,0.153,0.146,0.759,0.492,0.720,0.541,1.000
0.092,0.273,0.334,0.288,0.346,0.863,0.870,0.386,0.005,0.714,0.504,0.833,0.649,1.000
0.141,0.713,0.420,0.283,0.533,0.816,0.875,0.279,0.081,0.807,0.779,0.765,0.554,1.000
0.002,0.273,0.840,0.250,0.458,0.799,0.849,0.195,0.081,0.782,0.303,0.947,0.689,1.000
0.050,0.920,0.420,0.278,0.533,0.812,0.849,0.243,0.066,0.762,0.498,0.894,0.635,1.000
0.161,0.273,0.420,0.292,0.383,0.824,0.878,0.237,0.056,0.799,0.629,0.788,0.581,1.000
0.054,0.920,0.420,0.288,0.430,0.805,0.812,0.294,0.197,0.696,0.415,0.742,0.500,1.000
0.069,0.920,0.420,0.283,0.411,0.710,0.763,0.367,0.182,0.764,0.405,0.818,0.581,1.000
0.128,0.920,0.840,0.274,0.523,0.808,0.864,0.162,0.126,0.797,0.498,0.735,0.486,1.000
0.012,0.720,0.840,0.208,0.393,0.783,0.768,0.358,0.136,0.646,0.413,0.682,0.595,1.000
0.063,0.273,0.420,0.222,0.467,0.788,0.806,0.257,0.096,0.714,0.732,0.818,0.649,1.000
0.220,0.811,0.840,0.193,0.514,0.802,0.857,0.143,0.116,0.794,0.301,0.598,0.338,1.000
0.091,0.920,0.420,0.264,0.430,0.843,0.884,0.291,0.056,0.778,0.033,0.841,0.608,1.000
0.067,0.920,0.840,0.278,0.439,0.862,0.890,0.127,0.146,0.756,0.363,0.833,0.581,1.000
0.144,0.920,0.420,0.241,0.393,0.810,0.861,0.226,0.071,0.787,0.703,0.659,0.500,1.000
0.287,0.920,0.420,0.283,0.393,0.699,0.725,0.332,0.167,0.704,0.307,0.841,0.649,1.000
0.120,0.920,0.420,0.325,0.449,0.829,0.864,0.246,0.071,0.760,0.570,0.727,0.500,1.000
0.682,0.521,0.000,0.330,0.421,0.660,0.662,0.301,0.136,0.645,0.479,0.765,0.676,1.000
0.272,0.920,0.569,0.264,0.346,0.845,0.901,0.438,0.071,0.809,0.854,0.758,0.554,1.000
0.068,0.754,0.420,0.278,0.421,0.727,0.728,0.487,0.136,0.662,0.554,0.932,0.676,1.000
0.084,0.273,0.420,0.274,0.411,0.837,0.880,0.299,0.096,0.779,0.368,0.864,0.703,1.000
0.298,0.577,0.420,0.274,0.280,0.720,0.714,0.351,0.076,0.645,0.744,0.705,0.649,1.000
0.058,0.920,0.420,0.297,0.523,0.857,0.886,0.202,0.061,0.757,0.463,0.902,0.635,1.000
0.045,0.273,0.420,0.292,0.467,0.839,0.901,0.212,0.101,0.819,0.497,0.811,0.527,1.000
0.144,0.580,0.305,0.231,0.430,0.894,0.894,0.430,0.066,0.708,0.420,0.689,0.486,1.000
0.075,0.920,0.840,0.236,0.710,0.822,0.852,0.166,0.106,0.749,0.384,0.568,0.311,1.000
0.001,0.273,0.420,0.193,0.505,0.845,0.864,0.158,0.237,0.733,0.435,0.492,0.541,1.000
0.012,0.920,0.840,0.269,0.421,0.711,0.666,0.355,0.202,0.561,0.504,0.758,0.635,1.000
0.050,0.717,0.420,0.231,0.477,0.831,0.879,0.235,0.071,0.787,0.311,0.629,0.419,1.000
0.056,0.920,0.840,0.231,0.514,0.806,0.840,0.226,0.131,0.753,0.591,0.705,0.486,1.000
0.036,0.678,0.840,0.226,0.682,0.824,0.841,0.145,0.116,0.723,0.373,0.750,0.514,1.000
0.076,0.920,0.000,0.259,0.523,0.828,0.882,0.279,0.086,0.800,0.527,0.803,0.635,1.000
0.064,0.753,0.420,0.255,0.439,0.784,0.868,0.435,0.071,0.848,0.123,0.902,0.635,1.000
0.070,0.920,0.420,0.259,0.374,0.839,0.822,0.487,0.146,0.659,0.668,0.811,0.608,1.000
0.021,0.273,0.420,0.226,0.346,0.627,0.579,0.438,0.116,0.532,0.480,0.583,0.608,1.000
0.099,0.920,0.000,0.278,0.364,0.823,0.863,0.511,0.051,0.770,0.461,0.712,0.608,1.000
0.082,0.920,0.420,0.255,0.458,0.783,0.754,0.382,0.056,0.615,0.769,0.955,0.662,1.000
0.077,0.920,0.420,0.335,0.318,0.574,0.580,0.258,0.283,0.627,0.639,0.727,0.541,1.000
0.043,0.273,0.420,0.269,0.477,0.793,0.821,0.593,0.056,0.736,0.056,0.924,0.662,1.000
0.292,0.920,0.605,0.278,0.607,0.839,0.879,0.293,0.071,0.773,0.645,0.902,0.676,1.000
0.056,0.273,0.420,0.250,0.364,0.825,0.865,0.604,0.071,0.770,0.735,0.780,0.649,1.000
0.073,0.920,0.420,0.283,0.364,0.714,0.708,0.475,0.136,0.642,0.758,0.909,0.662,1.000
0.078,0.920,0.840,0.255,0.421,0.823,0.877,0.236,0.131,0.799,0.506,0.871,0.595,1.000
0.059,0.273,0.840,0.255,0.402,0.709,0.675,0.255,0.167,0.583,0.508,0.712,0.432,1.000
0.031,0.920,0.463,0.259,0.570,0.749,0.805,0.185,0.086,0.781,0.495,0.803,0.635,1.000
0.092,0.758,0.420,0.292,0.458,0.826,0.873,0.309,0.076,0.785,0.768,0.727,0.541,1.000
0.086,0.920,0.840,0.292,0.542,0.812,0.856,0.335,0.106,0.773,0.199,0.705,0.486,1.000
0.006,0.920,0.420,0.193,0.467,0.797,0.834,0.185,0.182,0.756,0.358,0.795,0.568,1.000
0.002,0.920,0.420,0.292,0.393,0.594,0.573,0.336,0.182,0.576,0.679,0.818,0.595,1.000
0.072,0.629,0.420,0.231,0.495,0.926,0.946,0.381,0.081,0.758,0.541,0.955,0.703,1.000
0.077,0.920,0.630,0.288,0.533,0.827,0.882,0.223,0.101,0.801,0.360,0.689,0.527,1.000
0.079,0.273,0.420,0.259,0.402,0.883,0.876,0.400,0.086,0.691,0.220,0.470,0.419,1.000
0.277,0.598,0.420,0.302,0.430,0.899,0.924,0.273,0.056,0.762,0.571,0.773,0.541,1.000
0.363,0.920,0.420,0.278,0.430,0.739,0.783,0.291,0.182,0.752,0.405,0.848,0.608,1.000
0.000,0.712,0.420,0.212,0.439,0.833,0.860,0.217,0.086,0.745,0.463,0.674,0.514,1.000
0.068,0.560,0.420,0.255,0.430,0.713,0.654,0.412,0.328,0.534,0.581,0.492,0.473,1.000
0.080,0.920,0.420,0.292,0.336,0.640,0.657,0.512,0.212,0.669,0.503,0.909,0.662,1.000
0.017,0.920,0.420,0.292,0.327,0.831,0.871,0.301,0.126,0.772,0.908,0.879,0.662,1.000
0.056,0.920,0.840,0.302,0.617,0.790,0.852,0.200,0.106,0.806,0.204,0.841,0.622,1.000
0.092,0.273,0.583,0.208,0.449,0.816,0.854,0.146,0.141,0.764,0.690,0.803,0.500,1.000
0.277,0.867,0.000,0.311,0.308,0.822,0.814,0.337,0.066,0.670,0.596,0.659,0.635,1.000
0.126,0.700,0.420,0.283,0.402,0.831,0.863,0.334,0.081,0.755,0.197,0.727,0.500,1.000
0.061,0.802,0.695,0.278,0.486,0.787,0.858,0.242,0.081,0.824,0.572,0.621,0.486,1.000
0.065,0.920,0.420,0.274,0.523,0.851,0.900,0.329,0.056,0.796,0.295,0.652,0.500,1.000
0.363,0.920,0.420,0.278,0.430,0.739,0.783,0.291,0.182,0.752,0.405,0.848,0.608,1.000
0.210,0.920,0.420,0.236,0.570,0.785,0.835,0.363,0.192,0.779,0.384,0.545,0.486,1.000
0.151,0.273,0.840,0.335,0.336,0.321,0.176,0.468,0.288,0.242,0.872,0.932,0.662,0.000
0.098,0.920,0.420,0.401,0.234,0.354,0.236,0.455,0.106,0.307,0.285,0.894,0.689,0.000
0.009,0.920,0.840,0.269,0.598,0.821,0.869,0.081,0.278,0.785,0.551,0.765,0.703,0.000
0.144,0.273,0.840,0.231,0.533,0.739,0.754,0.094,0.854,0.693,0.741,0.864,0.635,0.000
0.013,0.920,0.840,0.212,0.224,0.235,0.357,0.375,0.551,0.765,0.302,0.409,0.270,0.000
0.053,0.642,0.840,0.283,0.449,0.716,0.748,0.073,0.399,0.722,0.327,0.076,0.432,0.000
0.087,0.920,0.840,0.208,0.355,0.420,0.550,0.154,0.490,0.836,0.456,0.455,0.595,0.000
0.075,0.642,0.840,0.363,0.458,0.595,0.597,0.221,0.429,0.624,0.561,0.811,0.527,0.000
0.024,0.681,0.420,0.250,0.570,0.850,0.831,0.932,0.056,0.656,0.370,0.712,0.568,0.000
0.076,0.713,0.420,0.255,0.449,0.827,0.773,0.921,0.096,0.579,0.380,0.833,0.635,0.000
0.009,0.849,0.420,0.321,0.308,0.729,0.707,0.691,0.157,0.615,0.340,0.894,0.635,0.000
0.090,0.772,0.840,0.255,0.654,0.701,0.787,0.056,0.167,0.829,0.250,0.841,0.514,0.000
0.003,0.920,0.420,0.269,0.346,0.696,0.735,0.711,0.152,0.731,0.413,0.886,0.676,0.000
0.146,0.636,0.420,0.302,0.308,0.474,0.391,0.513,0.247,0.414,0.431,0.902,0.649,0.000
0.202,0.920,0.840,0.288,0.449,0.735,0.769,0.080,0.379,0.731,0.494,0.280,0.270,0.000
0.196,0.661,0.840,0.302,0.411,0.538,0.398,0.196,0.823,0.316,0.844,0.894,0.662,0.000
0.048,0.739,0.840,0.241,0.523,0.800,0.840,0.135,0.374,0.764,0.370,0.811,0.568,0.000
0.070,0.920,0.949,0.288,0.523,0.763,0.829,0.058,0.162,0.804,0.355,0.841,0.581,0.000
0.079,0.920,0.840,0.222,0.411,0.712,0.727,0.182,0.424,0.685,0.491,0.455,0.338,0.000
0.058,0.920,0.840,0.292,0.598,0.811,0.801,0.127,0.379,0.664,0.649,0.364,0.365,0.000
0.170,0.920,0.840,0.307,0.308,0.574,0.484,0.235,0.414,0.429,0.417,0.932,0.649,0.000
0.073,0.273,0.840,0.330,0.364,0.625,0.619,0.103,0.369,0.617,0.552,0.864,0.581,0.000
0.233,0.920,0.420,0.274,0.346,0.855,0.847,0.773,0.091,0.679,0.341,0.667,0.500,0.000
0.082,0.273,0.840,0.377,0.393,0.460,0.381,0.718,0.121,0.420,0.236,0.682,0.622,0.000
0.078,0.273,0.840,0.236,0.664,0.747,0.814,0.072,0.051,0.803,0.470,0.848,0.459,0.000
0.524,0.682,0.420,0.307,0.383,0.633,0.535,0.362,0.444,0.431,0.980,0.538,0.338,0.000
0.065,0.920,0.840,0.278,0.645,0.819,0.864,0.048,0.268,0.778,0.480,0.674,0.500,0.000
0.141,0.678,0.716,0.344,0.411,0.647,0.590,0.235,0.404,0.519,0.613,0.765,0.568,0.000
0.080,0.629,0.840,0.325,0.280,0.490,0.427,0.156,0.828,0.461,0.518,0.614,0.514,0.000
0.016,0.920,0.695,0.344,0.551,0.615,0.606,0.092,0.419,0.609,0.707,0.652,0.541,0.000
0.076,0.920,0.840,0.226,0.664,0.788,0.816,0.147,0.439,0.735,0.521,0.606,0.514,0.000
0.007,0.920,0.420,0.264,0.393,0.860,0.914,0.728,0.071,0.808,0.393,0.902,0.689,0.000
0.124,0.273,0.420,0.354,0.299,0.538,0.447,0.503,0.419,0.418,0.612,0.780,0.595,0.000
0.073,0.920,0.000,0.255,0.374,0.858,0.869,0.960,0.056,0.721,0.237,0.909,0.676,0.000
0.157,0.716,0.840,0.288,0.355,0.648,0.559,0.284,0.409,0.454,0.669,0.879,0.635,0.000
0.096,0.920,0.420,0.269,0.374,0.907,0.915,0.805,0.035,0.729,0.426,0.939,0.676,0.000
0.067,0.273,0.840,0.203,0.411,0.644,0.531,0.319,0.540,0.404,0.634,0.591,0.527,0.000
0.062,0.273,0.840,0.288,0.617,0.782,0.856,0.058,0.268,0.828,0.383,0.864,0.635,0.000
0.076,0.920,0.778,0.387,0.439,0.460,0.470,0.290,0.222,0.601,0.462,0.879,0.662,0.000
0.087,0.920,0.840,0.434,0.402,0.210,0.112,0.287,0.424,0.306,0.477,0.848,0.541,0.000
0.054,0.920,0.840,0.283,0.393,0.418,0.417,0.222,0.313,0.567,0.489,0.939,0.649,0.000
0.146,0.273,0.840,0.236,0.645,0.829,0.765,0.226,0.601,0.557,0.559,0.606,0.446,0.000
0.066,0.920,0.840,0.198,0.505,0.837,0.852,0.145,0.364,0.723,0.345,0.674,0.432,0.000
0.106,0.920,0.420,0.292,0.374,0.610,0.542,0.791,0.136,0.486,0.563,0.750,0.635,0.000
0.034,0.920,0.420,0.377,0.280,0.286,0.139,0.412,0.197,0.228,0.465,0.780,0.676,0.000
0.394,0.920,0.840,0.311,0.271,0.265,0.198,0.326,0.116,0.387,0.118,0.826,0.608,0.000
0.004,0.828,0.900,0.292,0.673,0.772,0.839,0.076,0.217,0.810,0.294,0.864,0.527,0.000
0.089,0.888,0.840,0.250,0.402,0.699,0.751,0.139,0.379,0.758,0.538,0.432,0.243,0.000
0.103,0.707,0.840,0.203,0.495,0.807,0.874,0.052,0.232,0.821,0.772,0.568,0.419,0.000
0.387,0.920,0.420,0.377,0.290,0.413,0.290,0.389,0.495,0.314,0.663,0.833,0.622,0.000
0.205,0.920,0.420,0.274,0.402,0.577,0.421,0.174,0.490,0.295,0.911,0.424,0.527,0.000
0.067,0.920,0.420,0.316,0.430,0.556,0.496,0.390,0.369,0.486,0.594,0.727,0.554,0.000
0.081,0.920,0.420,0.311,0.561,0.760,0.766,0.059,0.399,0.682,0.854,0.561,0.608,0.000
0.076,0.920,0.420,0.340,0.327,0.460,0.425,0.441,0.283,0.510,0.961,0.932,0.676,0.000
0.066,0.920,0.420,0.274,0.374,0.876,0.876,0.703,0.061,0.704,0.368,0.720,0.662,0.000
0.133,0.597,0.000,0.340,0.271,0.749,0.622,0.746,0.076,0.405,0.675,0.871,0.649,0.000
0.074,0.920,0.420,0.377,0.280,0.504,0.402,0.444,0.975,0.383,0.565,0.833,0.703,0.000
0.077,0.920,0.840,0.292,0.449,0.716,0.682,0.162,0.520,0.587,0.774,0.159,0.419,0.000
0.223,0.830,0.420,0.278,0.364,0.645,0.554,0.733,0.258,0.449,0.653,0.576,0.608,0.000
0.062,0.920,0.840,0.321,0.579,0.721,0.625,0.699,0.263,0.461,0.790,0.735,0.608,0.000
0.105,0.920,0.840,0.335,0.299,0.414,0.361,0.456,0.444,0.458,0.628,0.674,0.689,0.000
0.024,0.734,0.840,0.269,0.523,0.856,0.914,0.060,0.141,0.816,0.561,0.902,0.595,0.000
0.053,0.920,0.840,0.278,0.402,0.476,0.412,0.266,0.369,0.454,0.540,0.742,0.486,0.000
0.065,0.273,0.914,0.264,0.813,0.801,0.849,0.188,0.369,0.780,0.524,0.886,0.649,0.000
0.010,0.273,0.420,0.269,0.402,0.865,0.872,0.821,0.056,0.714,0.167,0.902,0.689,0.000
0.057,0.536,0.420,0.264,0.374,0.859,0.805,0.699,0.167,0.588,0.317,0.788,0.676,0.000
0.079,0.920,0.840,0.288,0.533,0.837,0.821,0.135,0.389,0.659,0.238,0.462,0.365,0.000
0.051,0.273,0.420,0.274,0.336,0.637,0.583,0.823,0.091,0.523,0.209,0.879,0.595,0.000
0.082,0.920,0.840,0.217,0.505,0.766,0.497,0.083,0.414,0.119,0.846,0.530,0.581,0.000
0.086,0.920,0.840,0.175,0.626,0.800,0.866,0.048,0.217,0.816,0.109,0.682,0.473,0.000
0.007,0.568,0.840,0.307,0.589,0.344,0.317,0.165,0.308,0.491,0.591,0.871,0.635,0.000
0.006,0.273,0.432,0.259,0.925,0.804,0.872,0.101,0.061,0.821,0.465,0.879,0.595,0.000
0.077,0.620,0.840,0.255,0.598,0.829,0.873,0.079,0.146,0.779,0.208,0.871,0.595,0.000
0.040,0.725,0.420,0.259,1.000,0.828,0.882,0.102,0.071,0.801,0.429,0.788,0.581,0.000
0.048,0.920,0.721,0.193,0.645,0.842,0.889,0.059,0.182,0.791,0.247,0.576,0.270,0.000
0.011,0.920,0.840,0.325,0.467,0.686,0.689,0.064,0.348,0.653,0.431,0.697,0.432,0.000
0.136,0.526,0.420,0.269,0.495,0.410,0.253,0.378,0.384,0.244,0.899,0.826,0.541,0.000
0.128,0.920,0.840,0.236,0.654,0.860,0.905,0.053,0.076,0.789,0.483,0.621,0.432,0.000
0.074,0.920,0.420,0.321,0.374,0.421,0.377,0.233,0.338,0.479,0.686,0.864,0.608,0.000
0.040,0.920,0.000,0.250,0.421,0.837,0.804,0.695,0.086,0.624,0.372,0.826,0.622,0.000
0.220,0.920,0.258,0.278,0.355,0.799,0.690,0.914,0.081,0.458,0.677,0.667,0.649,0.000
0.075,0.955,0.840,0.231,0.514,0.829,0.870,0.081,0.293,0.773,0.509,0.333,0.216,0.000
0.175,0.920,0.420,0.330,0.355,0.437,0.416,0.373,0.293,0.531,0.416,0.932,0.635,0.000
0.073,0.273,0.000,0.368,0.430,0.562,0.453,0.783,0.197,0.389,0.644,0.871,0.689,0.000
0.049,0.920,0.840,0.311,0.430,0.670,0.596,0.285,0.379,0.491,0.758,0.780,0.568,0.000
0.027,0.920,0.840,0.307,0.645,0.789,0.838,0.055,0.121,0.778,0.235,0.894,0.635,0.000
0.147,0.920,0.840,0.198,0.542,0.847,0.883,0.083,0.106,0.770,0.385,0.606,0.324,0.000
0.229,0.920,0.840,0.264,0.439,0.758,0.746,0.171,0.500,0.645,0.490,0.477,0.595,0.000
0.058,0.920,0.840,0.321,0.505,0.522,0.474,0.389,0.389,0.501,0.737,0.447,0.676,0.000
0.227,0.733,0.846,0.259,0.439,0.660,0.643,0.241,0.439,0.604,0.615,0.629,0.608,0.000
0.291,0.920,0.853,0.283,0.318,0.664,0.583,0.298,0.490,0.475,0.469,0.674,0.554,0.000
0.276,0.849,0.000,0.325,0.280,0.793,0.760,0.799,0.066,0.611,0.425,0.689,0.649,0.000
0.001,0.920,0.420,0.373,0.355,0.554,0.507,0.266,0.369,0.512,0.530,0.621,0.541,0.000
0.053,0.705,0.840,0.358,0.346,0.586,0.550,0.220,0.449,0.544,0.581,0.523,0.608,0.000
0.002,0.920,0.420,0.274,0.280,0.727,0.662,0.821,0.076,0.527,0.513,0.924,0.662,0.000
0.070,0.920,0.420,0.325,0.252,0.526,0.474,0.716,0.192,0.493,0.281,0.909,0.676,0.000
0.082,0.920,0.476,0.146,0.598,0.806,0.861,0.051,0.131,0.794,0.327,0.826,0.514,0.000
0.083,0.756,0.440,0.217,0.308,0.683,0.650,0.176,0.374,0.579,0.796,0.765,0.554,0.000
