time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM,Class
0.876,0.920,0.344,0.269,0.299,0.754,0.814,0.602,0.076,0.792,0.530,0.636,0.500,1.000
0.410,0.920,0.840,0.288,0.486,0.834,0.883,0.280,0.066,0.792,0.405,0.848,0.649,1.000
0.173,0.273,0.000,0.274,0.402,0.872,0.871,0.457,0.030,0.700,0.650,0.750,0.622,1.000
0.069,0.920,0.420,0.288,0.355,0.777,0.671,0.493,0.242,0.455,0.698,0.894,0.676,1.000
0.000,0.584,0.620,0.255,0.458,0.831,0.840,0.248,0.167,0.708,0.640,0.780,0.568,1.000
0.074,0.273,0.840,0.274,0.467,0.797,0.860,0.256,0.152,0.808,0.317,0.917,0.635,1.000
0.065,0.920,0.420,0.292,0.327,0.671,0.666,0.538,0.141,0.631,0.620,0.856,0.662,1.000
0.308,0.920,0.420,0.241,0.402,0.851,0.875,0.269,0.071,0.744,0.437,0.917,0.689,1.000
0.281,0.772,0.840,0.292,0.439,0.825,0.874,0.184,0.202,0.788,0.717,0.674,0.622,1.000
0.149,0.920,0.420,0.278,0.421,0.809,0.842,0.233,0.056,0.751,0.679,0.886,0.608,1.000
0.463,0.273,0.840,0.236,0.645,0.803,0.843,0.095,0.263,0.763,0.333,0.417,0.568,1.000
0.093,0.761,0.420,0.255,0.467,0.847,0.875,0.303,0.045,0.752,0.331,0.826,0.649,1.000
0.181,0.920,0.420,0.264,0.383,0.797,0.842,0.597,0.146,0.771,0.099,0.894,0.649,1.000
0.093,0.920,0.000,0.269,0.523,0.819,0.897,0.388,0.030,0.847,0.724,0.909,0.703,1.000
0.133,0.920,0.420,0.307,0.374,0.689,0.676,0.471,0.242,0.622,0.624,0.780,0.622,1.000
0.059,0.920,0.420,0.193,0.327,0.824,0.836,0.229,0.086,0.713,0.239,0.689,0.527,1.000
0.293,0.920,0.420,0.231,0.458,0.796,0.812,0.282,0.157,0.712,0.734,0.735,0.446,1.000
0.126,0.920,0.420,0.231,0.430,0.868,0.857,0.385,0.146,0.678,0.233,0.742,0.554,1.000
0.008,0.920,0.420,0.259,0.449,0.867,0.898,0.251,0.066,0.765,0.240,0.765,0.554,1.000
0.135,0.920,0.420,0.255,0.561,0.805,0.852,0.318,0.187,0.779,0.230,0.886,0.635,1.000
0.043,0.273,0.420,0.259,0.458,0.754,0.723,0.498,0.187,0.603,0.354,0.909,0.662,1.000
0.216,0.920,0.420,0.259,0.477,0.820,0.881,0.385,0.030,0.811,0.460,0.894,0.662,1.000
0.278,0.920,0.420,0.278,0.364,0.811,0.883,0.176,0.076,0.831,0.502,0.818,0.649,1.000
0.117,0.920,0.840,0.255,0.523,0.818,0.860,0.182,0.101,0.772,0.293,0.598,0.432,1.000
0.088,0.617,0.420,0.255,0.561,0.747,0.814,0.199,0.157,0.802,0.537,0.629,0.581,1.000
0.030,0.920,0.420,0.250,0.374,0.870,0.906,0.508,0.015,0.777,0.428,0.902,0.689,1.000
0.130,0.920,0.420,0.283,0.505,0.830,0.871,0.175,0.040,0.773,0.448,0.856,0.649,1.000
0.073,0.920,0.840,0.292,0.467,0.816,0.837,0.183,0.141,0.729,0.107,0.833,0.568,1.000
0.004,0.920,0.420,0.264,0.486,0.818,0.847,0.353,0.096,0.747,0.566,0.864,0.676,1.000
0.271,0.920,0.420,0.297,0.486,0.878,0.895,0.403,0.040,0.737,0.485,0.712,0.595,1.000
0.069,0.920,0.840,0.288,0.430,0.694,0.709,0.298,0.232,0.681,0.406,0.894,0.622,1.000
0.206,0.273,0.840,0.203,0.486,0.714,0.788,0.198,0.242,0.807,0.539,0.811,0.541,1.000
0.032,0.273,0.420,0.193,0.439,0.836,0.871,0.388,0.091,0.763,0.477,0.811,0.608,1.000
0.104,0.920,0.420,0.231,0.411,0.824,0.842,0.379,0.121,0.723,0.216,0.636,0.419,1.000
0.293,0.920,0.420,0.255,0.458,0.754,0.842,0.372,0.035,0.848,0.565,0.902,0.676,1.000
0.005,0.920,0.420,0.245,0.393,0.889,0.899,0.318,0.081,0.727,0.610,0.727,0.649,1.000
0.298,0.273,0.420,0.255,0.383,0.721,0.715,0.293,0.101,0.646,0.566,0.848,0.635,1.000
0.087,0.771,0.420,0.250,0.402,0.773,0.694,0.370,0.152,0.512,0.619,0.879,0.622,1.000
