time_betw_scan_hours,CA,YM,Class,dea_eff,cluster efficency - 5 clusters
1272.000,2.680,6.629,1.000,0.420,4.000
4810.000,2.715,5.792,1.000,0.480,1.000
1690.000,2.508,6.295,1.000,0.530,1.000
1437.000,2.697,6.266,1.000,0.480,1.000
1473.000,2.432,5.824,1.000,0.560,3.000
7700.000,2.695,6.429,1.000,0.510,1.000
1539.000,2.751,5.986,1.000,0.540,1.000
2305.000,2.660,6.549,1.000,0.570,3.000
1636.000,2.613,6.032,1.000,0.700,2.000
2838.000,2.631,5.858,1.000,0.470,1.000
1833.000,2.475,6.394,1.000,0.570,3.000
2924.000,2.680,5.898,1.000,0.420,4.000
2707.000,2.710,6.048,1.000,0.590,3.000
4264.000,2.580,6.448,1.000,0.520,1.000
1048.000,2.680,6.150,1.000,0.540,1.000
139.000,2.604,6.239,1.000,0.590,3.000
1805.000,2.387,6.670,1.000,0.560,3.000
2941.000,2.585,6.507,1.000,0.480,1.000
1628.000,2.680,5.869,1.000,0.570,3.000
31.000,2.505,6.413,1.000,0.570,3.000
266.000,2.480,6.630,1.000,0.610,3.000
438.000,2.695,6.925,1.000,0.540,1.000
1350.000,2.884,6.750,1.000,0.370,4.000
1273.000,2.913,6.778,1.000,0.470,1.000
1458.000,2.652,6.768,1.000,0.340,4.000
1238.000,2.704,6.421,1.000,0.450,1.000
109.000,2.325,6.264,1.000,0.610,3.000
2368.000,2.584,5.847,1.000,0.640,3.000
8912.000,2.707,6.312,1.000,0.450,1.000
1507.000,2.549,6.182,1.000,0.480,1.000
1423.000,2.703,6.150,1.000,0.370,4.000
72.000,2.562,6.829,1.000,0.430,4.000
4718.000,2.754,6.547,1.000,0.580,3.000
1056.000,2.548,6.295,1.000,0.530,1.000
167.000,2.471,5.990,1.000,0.480,1.000
4043.000,2.638,6.257,1.000,0.620,3.000
1056.000,3.006,6.615,1.000,0.440,4.000
830.000,2.556,6.278,1.000,0.270,4.000
1683.000,2.470,5.903,1.000,0.400,4.000
1488.000,2.750,5.344,1.000,0.390,4.000
995.000,2.616,6.709,1.000,0.510,1.000
1262.000,2.630,6.286,1.000,0.350,4.000
1190.000,2.705,6.377,1.000,0.440,4.000
11337.000,2.643,6.477,1.000,0.620,3.000
1382.000,2.689,6.788,1.000,0.610,3.000
4249.000,2.490,5.795,1.000,0.620,3.000
8792.000,2.378,6.497,1.000,0.580,3.000
3030.000,2.590,5.928,1.000,0.580,3.000
1321.000,2.876,5.878,1.000,0.350,4.000
911.000,2.756,6.477,1.000,0.600,3.000
3889.000,2.680,5.650,1.000,0.530,1.000
2742.000,2.889,6.685,1.000,0.580,3.000
6864.000,2.536,5.869,1.000,0.490,1.000
1674.000,2.575,6.614,1.000,0.520,1.000
1296.000,2.659,5.823,1.000,0.630,3.000
77.000,2.704,6.722,1.000,0.530,1.000
1455.000,2.543,6.795,1.000,0.600,3.000
2912.000,2.732,6.303,1.000,0.370,4.000
3981.000,2.564,6.177,1.000,0.510,1.000
488.000,2.711,6.964,1.000,0.460,1.000
