time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
3234.000,3.000,6.000,2.100,11.800,40.750,39.960,326.000,6.300,-0.790,11.720,-0.030,0.010
1231.000,3.000,7.000,2.060,11.300,41.130,39.700,417.000,7.500,-1.430,13.890,-0.530,-0.050
1513.000,3.000,6.000,1.930,9.900,40.600,38.830,733.000,6.200,-1.770,13.320,-0.160,-0.060
1404.000,3.000,7.000,2.040,10.700,40.890,40.350,523.000,5.100,-0.540,12.670,-0.200,-0.020
1611.000,3.000,7.000,1.960,11.700,40.480,40.170,462.000,5.900,-0.310,12.430,-0.060,0.000
4583.000,2.836,6.000,1.920,11.100,41.120,40.230,338.000,5.700,-0.890,13.020,-0.270,-0.050
424.000,3.000,6.000,1.990,11.600,40.780,40.740,382.000,5.600,-0.040,12.870,-0.070,-0.040
2766.000,3.000,6.000,2.060,11.100,40.470,39.780,503.000,5.900,-0.690,13.240,-0.370,-0.100
1590.000,2.853,6.000,2.030,10.600,41.250,39.870,594.000,6.000,-1.380,11.740,-0.460,-0.130
5788.000,3.000,6.000,1.990,10.700,39.980,39.920,581.000,4.800,-0.060,12.670,-0.050,0.020
1007.000,3.000,7.000,1.960,13.100,40.860,40.260,281.000,6.200,-0.600,11.180,-0.070,-0.030
210.000,2.867,7.000,2.060,12.600,41.270,40.840,249.000,7.000,-0.430,9.970,-0.260,-0.110
6207.000,2.000,6.000,2.040,10.900,41.020,40.310,428.000,5.200,-0.710,12.790,-0.090,-0.020
514.000,2.389,6.000,2.050,10.000,41.150,39.680,519.000,7.200,-1.470,16.070,-0.030,0.020
4179.000,2.000,7.000,1.970,11.400,40.650,40.060,463.000,4.900,-0.590,12.400,-0.220,-0.060
3157.000,3.000,6.000,2.000,10.800,40.840,38.140,422.000,10.200,-2.700,15.880,-0.450,-0.180
146.000,3.000,6.000,2.020,8.700,38.920,36.900,696.000,7.000,-2.020,11.640,-0.060,-0.010
1505.000,2.915,7.000,2.000,10.900,41.730,41.190,495.000,6.300,-0.540,14.120,-0.030,0.000
945.000,3.000,6.000,2.030,10.300,40.990,39.410,611.000,6.600,-1.580,10.180,-0.180,0.000
1737.000,2.000,6.000,2.140,11.000,40.970,40.490,403.000,5.300,-0.480,13.820,-0.090,0.010
1338.000,2.000,7.000,1.830,10.200,41.090,39.650,394.000,7.700,-1.440,13.010,-0.220,-0.010
993.000,2.000,6.000,1.990,9.900,41.070,40.430,673.000,5.700,-0.640,12.060,-0.020,0.000
1452.000,2.000,7.000,1.950,11.600,41.260,40.410,411.000,7.600,-0.850,10.580,-0.140,-0.060
8446.000,2.619,7.000,1.880,11.700,40.990,40.010,273.000,8.200,-0.980,12.480,-0.220,-0.040
1047.000,3.000,7.000,2.010,10.600,40.530,40.230,407.000,7.500,-0.300,9.550,-0.120,-0.040
1126.000,2.378,7.000,1.930,11.600,40.810,40.360,263.000,6.900,-0.450,10.980,-0.070,-0.020
422.000,2.568,7.000,2.010,10.600,40.620,40.240,388.000,10.000,-0.380,10.050,-0.050,-0.010
6036.000,3.000,6.000,2.030,11.300,41.240,39.920,552.000,4.900,-1.320,10.950,-0.010,0.010
1559.000,3.000,6.000,2.010,11.600,41.890,41.270,539.000,4.800,-0.620,13.810,-0.040,0.000
7188.000,3.000,6.000,2.000,11.200,41.250,40.370,479.000,5.300,-0.880,13.220,-0.330,-0.040
5384.000,2.000,6.000,1.990,9.600,40.840,39.990,490.000,5.200,-0.850,9.880,-0.470,-0.020
126.000,2.650,6.000,2.010,9.900,41.420,40.040,575.000,5.300,-1.380,10.470,-0.210,0.030
1155.000,3.000,6.000,1.930,10.100,40.360,40.090,520.000,6.200,-0.270,9.920,-0.020,0.010
518.000,2.000,7.000,2.060,10.200,41.010,40.490,393.000,5.800,-0.520,12.920,-0.300,-0.090
4331.000,3.000,7.000,2.100,12.700,40.590,40.060,285.000,7.400,-0.530,11.440,-0.480,-0.260
1406.000,3.000,6.000,2.030,10.400,41.790,40.850,500.000,5.000,-0.940,10.890,-0.130,-0.010
5793.000,3.000,6.000,2.020,10.400,40.480,38.920,516.000,6.700,-1.560,13.020,-0.080,-0.020
111.000,3.000,7.000,1.930,12.200,41.710,40.080,467.000,7.800,-1.630,10.750,-0.330,-0.090
856.000,3.000,7.000,1.930,11.000,40.700,40.100,332.000,5.900,-0.600,12.330,-0.170,-0.030
2798.000,3.000,7.000,2.060,12.200,40.820,40.310,436.000,5.600,-0.510,14.800,0.000,0.030
5521.000,2.000,7.000,2.080,11.000,39.290,36.930,285.000,8.800,-2.360,12.110,-0.080,-0.050
1093.000,3.000,7.000,2.010,12.100,40.700,39.970,423.000,8.000,-0.730,11.990,-0.450,-0.220
1242.000,3.000,6.000,1.900,12.500,41.630,40.640,534.000,7.100,-0.990,13.790,-0.590,-0.070
1564.000,2.734,6.000,2.070,10.700,41.420,40.620,739.000,4.900,-0.800,13.540,-0.160,-0.010
1155.000,2.512,6.000,1.930,10.100,40.360,40.090,520.000,6.200,-0.270,9.920,-0.020,0.010
3178.000,3.000,7.000,1.940,9.900,39.710,37.360,524.000,7.800,-2.350,10.930,-0.180,-0.060
343.000,2.824,6.715,2.050,10.100,37.930,36.070,388.000,9.700,-1.860,10.190,-0.210,0.010
1351.000,3.000,6.000,1.960,12.300,41.470,41.300,220.000,6.100,-0.170,12.100,-0.380,-0.150
2663.000,3.000,6.000,2.000,10.700,40.830,39.060,611.000,5.700,-1.770,11.170,-0.020,0.000
2764.000,3.000,7.000,1.830,11.600,40.150,40.070,307.000,5.800,-0.080,13.450,-0.040,-0.010
35.000,2.649,7.000,2.020,11.000,41.480,40.580,461.000,6.000,-0.900,12.890,-0.210,0.030
