2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
0.25,0.9,4.29,231,0.9,0.25
0.26,0.8,4.36,382,1.0,0.31
0.26,0.8,4.36,382,1.0,0.31
0.21,0.9,3.97,290,2.0,0.43
0.21,0.9,3.97,290,2.0,0.43
0.26,1.0,4.16,243,1.2,0.23
0.26,1.0,4.16,243,1.2,0.23
0.24,0.3,4.6,45,0.1,0.09
0.24,0.3,4.6,45,0.1,0.09
0.2,1.2,4.54,271,2.7,0.7
0.2,1.2,4.54,271,2.7,0.7
0.22,1.0,4.66,319,2.8,0.44
0.22,1.0,4.66,319,2.8,0.44
0.2,0.2,4.76,63,0.5,0.17
0.2,0.2,4.76,63,0.5,0.17
0.17,1.5,4.86,290,4.0,0.27
0.17,1.5,4.86,290,4.0,0.27
0.22,0.2,4.78,190,2.8,2.09
0.22,0.2,4.78,190,2.8,2.09
0.26,0.2,4.17,51,0.9,0.82
0.26,0.2,4.17,51,0.9,0.82
0.23,0.5,3.26,14,2.0,1.77
0.23,0.5,3.26,14,2.0,1.77
0.23,0.5,4.36,202,1.7,0.39
0.23,0.5,4.36,202,1.7,0.39
0.18,0.1,2.95,211,3.9,0.72
0.18,0.1,2.95,211,3.9,0.72
0.21,0.1,4.27,88,0.5,0.52
0.21,0.1,4.27,88,0.5,0.52
0.2,1.0,4.5,181,1.6,0.11
0.2,1.0,4.5,181,1.6,0.11
0.26,0.4,4.11,16,0.3,0.25
0.26,0.4,4.11,16,0.3,0.25
0.23,0.4,4.55,191,0.3,0.04
0.23,0.4,4.55,191,0.3,0.04
0.23,0.4,3.63,60,0.1,0.22
0.23,0.4,3.63,60,0.1,0.22
0.26,0.0,4.5,230,0.3,0.28
0.26,0.0,4.5,230,0.3,0.28
0.24,0.1,2.34,340,4.6,0.98
0.24,0.1,2.34,340,4.6,0.98
0.23,0.0,3.25,247,0.4,1.0
0.23,0.0,3.25,247,0.4,1.0
0.23,0.4,4.7,81,1.2,0.26
0.23,0.4,4.7,81,1.2,0.26
0.27,0.6,4.66,312,1.2,0.43
0.27,0.6,4.66,312,1.2,0.43
0.23,0.3,3.99,115,2.1,0.79
0.23,0.3,3.99,115,2.1,0.79
0.18,0.2,4.72,30,0.8,0.87
0.18,0.2,4.72,30,0.8,0.87
0.23,0.4,3.22,104,1.2,0.53
0.23,0.4,3.22,104,1.2,0.53
0.24,0.5,4.89,106,0.0,0.64
0.24,0.5,4.89,106,0.0,0.64
0.27,0.1,4.8,4,0.2,0.63
0.27,0.1,4.8,4,0.2,0.63
0.33,1.6,4.92,332,2.6,0.42
0.33,1.6,4.92,332,2.6,0.42
0.26,0.7,5.02,217,1.1,0.35
0.26,0.7,5.02,217,1.1,0.35
0.29,0.8,4.5,372,2.8,0.45
0.29,0.8,4.5,372,2.8,0.45
0.26,1.0,5.12,257,0.1,0.52
0.26,1.0,5.12,257,0.1,0.52
0.31,1.0,5.06,288,0.6,0.35
0.31,1.0,5.06,288,0.6,0.35
