bcr_dir,RunNumberPartNumberID,RunNumber,PartNumber,ca_time,ym_time,Sensor,BoardNumber,ArrayNumber,time_betw_scan_min,CA,CA Humidity,CA Temperature,YM,YM Humidity,YM Temperature,CA_cav_dia,CA_void_cav,CA_cav_depth,Ca_void_mem,CA_overlap_min,CA_overlap_max,YM_void_mem,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,DEA
932-029-R29042-N002-A7-Failed,27223,R29042,932-029,23-03-2021 09:32,24-03-2021 00:38,Glu,2,7,510,2.483,28.4,27.74,5.952999999999999,29.58,26.82,1170.36,25.312,59.43,29.263,115.491,178.486,31.766,Failed,1.68,0.32,0.8,3.73,443,2.8,0.86,0.67
932-029-R29002-N008-A3-Failed,27165,R29002,932-029,22-03-2021 08:34,24-03-2021 00:26,Glu,8,3,2060,2.49,26.99,28.02,5.902,29.68,26.98,1155.14,19.93,61.392,29.231,115.62,204.962,27.708,Failed,1.87,0.29,3.8,4.57,448,0.6,0.1,1.0
932-029-R28976-N008-A7-Failed,27076,R28976,932-029,22-03-2021 13:32,23-03-2021 22:06,Glu,8,7,1055,2.25,28.79,27.35,5.89,29.13,26.91,1172.23,22.128,72.148,31.393,105.109,162.91899999999995,29.201,Failed,2.13,0.29,0.9,3.78,457,3.5,0.63,0.69
932-029-R28976-N003-A3-Failed,27076,R28976,932-029,22-03-2021 13:16,23-03-2021 21:40,Glu,3,3,1065,2.256,31.06,26.88,5.624,30.91,26.72,1167.25,21.737,74.587,30.864,99.853,162.91899999999995,28.564,Failed,2.15,0.18,1.9,3.02,236,5.8,3.55,0.84
932-029-R29008-N004-A7-Failed,27171,R29008,932-029,22-03-2021 10:00,23-03-2021 18:24,Glu,4,7,1832,2.315,27.39,27.88,6.2,28.62,25.89,1164.66,24.84,58.337,31.436,100.264,174.142,33.081,Failed,1.37,0.14,0.0,1.09,314,10.5,3.6,0.62
932-029-R28989-N003-A2-Failed,27152,R28989,932-029,22-03-2021 16:48,23-03-2021 17:44,Glu,3,2,1376,2.499,27.26,28.82,6.3610000000000015,28.37,26.08,1161.54,24.027,66.479,27.833,94.493,209.984,29.173,Failed,2.03,0.26,0.0,4.4,429,3.8,0.33,0.69
932-029-R29039-N003-A2-Failed,27220,R29039,932-029,22-03-2021 19:14,23-03-2021 16:20,Glu,3,2,614,2.583,27.12,29.0,7.08,27.96,26.17,1163.31,20.845,56.499,30.78,115.62,178.685,29.769,Failed,1.82,0.29,0.4,0.66,364,19.7,2.65,0.95
932-029-R28985-N003-A14-Failed,27085,R28985,932-029,21-03-2021 09:06,23-03-2021 15:06,Glu,3,14,2652,2.759,26.52,28.22,6.712999999999999,33.45,26.17,1157.79,23.349,66.589,29.797,94.987,179.419,31.189,Failed,1.67,0.24,1.2,4.3,318,7.9,1.23,0.73
,27022,R28946,932-029,22-03-2021 14:28,23-03-2021 14:24,Glu,2,4,1128,2.229,27.63,28.2,5.017,29.56,26.21,1153.36,22.394,60.57100000000001,27.016,136.489,194.235,29.823,Failed,1.9,0.18,1.9,4.49,516,0.2,0.97,0.87
932-029-R28997-N008-A6-Failed,27160,R28997,932-029,22-03-2021 09:02,23-03-2021 09:12,Glu,8,6,1238,2.43,28.18,27.51,6.4110000000000005,30.47,25.69,1178.81,21.825,57.155,30.979,84.402,211.005,29.532,Failed,1.67,0.24,1.2,4.51,159,5.8,0.96,0.72
932-029-R29010-N008-A7-Failed,27173,R29010,932-029,22-03-2021 07:38,23-03-2021 06:52,Glu,8,7,1009,2.445,28.22,27.09,6.482,30.44,25.94,1155.58,26.216,61.776,30.808000000000003,104.992,209.984,33.104,Failed,1.67,0.17,2.6,4.15,535,2.8,0.59,0.93
