bcr_dir,RunNumberPartNumberID,RunNumber,PartNumber,Timestamp,Sensor,BoardNumber,ArrayNumber,time_betw_scan_min,CA,CA Humidity,CA Temperature,YM,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac h�j O2,Sensitivity [pA/�M],t on 10/5 mM glu/lac [s],Lav O2 - H�j O2,40/25 mM glu/lac høj O2,Sensitivity [pA/µM],Lav O2 - Høj O2
932-029-R28752-N008-A12-Approved,26728,R28752,932-029,08-03-2021 12:24,Glu,8,12,613,2.866,29.88,26.12,6.0710000000000015,Approved,1.5,0.27,2.1,3.57,258.0,2.6,0.44,,,
932-029-R28752-N002-A3-Approved,26728,R28752,932-029,08-03-2021 12:06,Glu,2,3,616,2.682,29.04,26.35,6.085,Approved,1.5,0.27,3.2,3.58,319.0,3.8,0.16,,,
932-029-R28765-N008-A7-Approved,26741,R28765,932-029,08-03-2021 11:16,Glu,8,7,893,2.681,27.41,28.08,6.318,Approved,1.5,0.22,1.7,3.16,218.0,1.4,0.22,,,
932-029-R28765-N003-A8-Approved,26741,R28765,932-029,08-03-2021 11:00,Glu,3,8,898,2.576,26.94,28.18,6.055,Approved,1.58,0.23,1.1,2.35,175.0,1.2,0.43,,,
932-029-R28765-N002-A8-Approved,26741,R28765,932-029,08-03-2021 10:56,Glu,2,8,899,2.627,27.09,28.09,5.726,Approved,1.47,0.25,1.4,3.8,100.0,0.4,0.84,,,
932-029-R28765-N001-A1-Approved,26741,R28765,932-029,08-03-2021 10:52,Glu,1,1,900,2.838,27.12,28.01,6.2639999999999985,Approved,1.43,0.22,1.8,3.39,343.0,0.2,0.25,,,
932-029-R28754-N008-A10-Approved,26730,R28754,932-029,08-03-2021 10:24,Glu,8,10,685,2.323,27.16,27.56,5.992000000000001,Approved,1.65,0.27,0.0,3.14,114.0,2.8,1.15,,,
932-029-R28754-N003-A3-Approved,26730,R28754,932-029,08-03-2021 10:08,Glu,3,3,686,2.414,28.28,26.98,6.01,Approved,1.75,0.43,0.5,3.4,269.0,2.1,0.34,,,
932-029-R28754-N002-A13-Approved,26730,R28754,932-029,08-03-2021 10:06,Glu,2,13,688,2.49,28.47,26.77,6.033,Approved,1.72,0.48,1.3,4.26,334.0,1.2,0.67,,,
932-029-R28754-N001-A11-Approved,26730,R28754,932-029,08-03-2021 09:58,Glu,1,11,682,2.294,28.84,26.38,5.7860000000000005,Approved,1.75,0.33,0.9,4.0,261.0,0.5,0.72,,,
932-029-R28761-N008-A12-Approved,26737,R28761,932-029,08-03-2021 09:54,Glu,8,12,424,2.94,29.9,25.94,5.327000000000001,Approved,1.62,0.26,0.8,3.14,95.0,1.0,0.44,,,
932-029-R28761-N004-A1-Approved,26737,R28761,932-029,08-03-2021 09:42,Glu,4,1,423,2.817,28.44,26.31,6.197,Approved,1.63,0.37,0.0,3.78,323.0,0.8,0.64,,,
932-029-R28761-N003-A12-Approved,26737,R28761,932-029,08-03-2021 09:40,Glu,3,12,425,2.809,28.17,26.51,5.591,Approved,1.6,0.28,0.6,3.09,31.0,0.0,0.16,,,
932-029-R28761-N002-A2-Approved,26737,R28761,932-029,08-03-2021 09:36,Glu,2,2,425,2.787,28.27,26.88,5.827000000000001,Approved,1.62,0.33,0.1,3.92,185.0,0.1,0.37,,,
932-029-R28766-N003-A2-Approved,26742,R28766,932-029,08-03-2021 09:10,Glu,3,2,627,2.553,28.25,26.68,5.625,Approved,0.53,0.17,1.1,2.91,27.0,0.8,0.41,,,
932-029-R28766-N001-A2-Approved,26742,R28766,932-029,08-03-2021 09:02,Glu,1,2,628,2.685,27.06,27.19,6.307,Approved,0.47,0.22,2.5,4.16,367.0,0.8,1.01,,,
932-029-R28741-N008-A11-Approved,26702,R28741,932-029,04-03-2021 15:26,Glu,8,11,3491,2.653,31.63,25.73,6.171,Approved,1.18,0.23,0.3,2.45,311.0,7.0,1.52,,,
932-029-R28741-N002-A7-Approved,26702,R28741,932-029,04-03-2021 15:04,Glu,2,7,3503,2.623,32.07,25.98,5.957999999999998,Approved,1.15,0.25,0.4,4.14,276.0,0.4,0.48,,,
932-029-R28741-N001-A2-Approved,26702,R28741,932-029,04-03-2021 15:02,Glu,1,2,3546,2.482,31.85,25.98,6.041,Approved,1.15,0.25,0.1,3.97,226.0,0.6,0.55,,,
932-029-R28694-N008-A3-Approved,26640,R28694,932-029,04-03-2021 14:56,Glu,8,3,3324,2.702,31.65,25.9,6.2029999999999985,Approved,0.55,0.26,1.9,3.94,210.0,1.4,0.24,,,
932-029-R28694-N003-A2-Approved,26640,R28694,932-029,04-03-2021 14:42,Glu,3,2,3336,2.77,31.73,26.05,5.729,Approved,0.47,0.17,0.7,3.14,72.0,1.2,0.09,,,
932-029-R28694-N002-A13-Approved,26640,R28694,932-029,04-03-2021 14:38,Glu,2,13,3343,2.739,30.93,26.59,5.985,Approved,0.55,0.23,1.2,4.1,147.0,0.4,0.63,,,
932-029-R28694-N001-A9-Approved,26640,R28694,932-029,04-03-2021 14:36,Glu,1,9,3345,2.942,30.59,26.88,6.237,Approved,0.52,0.23,1.4,3.61,301.0,0.3,0.28,,,
932-029-R28731-N008-A2-Approved,26692,R28731,932-029,04-03-2021 14:28,Glu,8,2,3159,2.545,30.29,26.98,6.905,Approved,1.62,0.25,0.0,1.54,205.0,5.5,1.02,,,
932-029-R28731-N003-A5-Approved,26692,R28731,932-029,04-03-2021 14:14,Glu,3,5,3198,2.481,31.4,26.47,6.9129999999999985,Approved,1.6,0.35,1.1,3.68,265.0,2.7,0.26,,,
932-029-R28731-N002-A5-Approved,26692,R28731,932-029,04-03-2021 14:10,Glu,2,5,3200,2.631,30.59,27.04,6.395,Approved,1.62,0.3,0.3,3.96,183.0,0.2,0.83,,,
932-029-R28731-N001-A4-Approved,26692,R28731,932-029,04-03-2021 14:08,Glu,1,4,3202,2.708,30.52,26.98,6.9929999999999986,Approved,1.63,0.3,0.6,3.84,206.0,2.2,0.69,,,
932-029-R28708-N008-A12-Approved,26654,R28708,932-029,04-03-2021 13:28,Glu,8,12,3268,2.27,31.06,26.96,6.346,Approved,1.65,0.27,1.6,4.52,313.0,0.3,0.84,,,
932-029-R28708-N003-A11-Approved,26654,R28708,932-029,04-03-2021 13:14,Glu,3,11,3298,2.187,31.63,26.54,6.275,Approved,1.65,0.3,1.4,4.15,200.0,0.0,0.63,,,
932-029-R28708-N002-A4-Approved,26654,R28708,932-029,04-03-2021 13:10,Glu,2,4,3300,2.4090000000000003,31.9,26.52,7.061,Approved,1.63,0.37,1.5,3.97,313.0,2.0,0.72,,,
932-029-R28708-N001-A2-Approved,26654,R28708,932-029,04-03-2021 13:02,Glu,1,2,3305,2.458,30.66,27.0,6.88,Approved,1.73,0.21,1.0,4.12,286.0,1.3,0.35,,,
932-029-R28722-N008-A5-Approved,26668,R28722,932-029,04-03-2021 11:50,Glu,8,5,2794,2.428,30.25,27.32,6.495,Approved,1.6,0.26,0.7,4.17,131.0,0.1,0.8,,,
932-029-R28722-N003-A5-Approved,26668,R28722,932-029,04-03-2021 11:34,Glu,3,5,2802,2.535,29.8,27.19,6.3279999999999985,Approved,1.7,0.23,0.9,1.0,113.0,1.9,2.65,,,
932-029-R28722-N002-A3-Approved,26668,R28722,932-029,04-03-2021 11:32,Glu,2,3,2805,2.91,29.87,27.19,7.034,Approved,1.72,0.34,1.0,3.8,277.0,1.9,0.77,,,
932-029-R28722-N001-A8-Approved,26668,R28722,932-029,04-03-2021 11:28,Glu,1,8,2814,2.419,30.24,27.14,6.214,Approved,1.63,0.25,0.6,4.16,21.0,0.0,0.62,,,
932-029-R28684-N008-A3-Approved,26630,R28684,932-029,04-03-2021 11:10,Glu,8,3,4410,1.848,30.13,27.11,6.0779999999999985,Approved,1.53,0.14,0.4,0.85,116.0,6.2,2.49,,,
932-029-R28684-N003-A15-Approved,26630,R28684,932-029,04-03-2021 10:56,Glu,3,15,5988,1.906,29.46,27.23,6.0760000000000005,Approved,1.53,0.24,1.8,4.09,318.0,0.4,0.63,,,
932-029-R28684-N002-A1-Approved,26630,R28684,932-029,04-03-2021 10:52,Glu,2,1,5990,2.003,29.73,27.21,5.715,Approved,1.57,0.24,2.0,4.49,101.0,0.0,0.15,,,
932-029-R28684-N001-A9-Approved,26630,R28684,932-029,04-03-2021 10:50,Glu,1,9,5997,1.966,29.7,27.23,5.836,Approved,1.53,0.21,1.4,2.82,146.0,2.8,0.8,,,
932-029-R28724-N008-A1-Approved,26685,R28724,932-029,04-03-2021 10:46,Glu,8,1,3089,2.275,29.6,27.19,6.629,Approved,1.48,0.22,2.7,4.02,409.0,3.0,0.22,,,
932-029-R28724-N003-A3-Approved,26685,R28724,932-029,04-03-2021 10:32,Glu,3,3,3114,2.155,31.56,26.4,6.101,Approved,1.58,0.1,1.0,2.11,73.0,2.1,1.11,,,
932-029-R28724-N002-A8-Approved,26685,R28724,932-029,04-03-2021 10:28,Glu,2,8,3116,2.148,30.44,26.66,5.74,Approved,1.62,0.25,2.0,3.55,158.0,1.9,0.35,,,
932-029-R28724-N001-A7-Approved,26685,R28724,932-029,04-03-2021 10:22,Glu,1,7,3122,2.213,29.78,26.98,6.144,Approved,1.52,0.27,3.2,4.88,328.0,2.2,0.3,,,
932-029-R28720-N007-A14-Approved,26666,R28720,932-029,04-03-2021 09:10,Glu,7,14,4885,2.377,29.16,27.83,6.606,Approved,1.63,0.36,0.2,3.41,176.0,2.3,0.02,,,
932-029-R28720-N003-A8-Approved,26666,R28720,932-029,04-03-2021 08:58,Glu,3,8,4906,2.292,29.63,27.58,6.471,Approved,1.63,0.2,0.6,1.6,90.0,1.9,0.24,,,
932-029-R28720-N002-A6-Approved,26666,R28720,932-029,04-03-2021 08:56,Glu,2,6,4910,2.344,29.61,27.53,6.224,Approved,1.67,0.33,0.3,4.14,2.0,1.0,0.23,,,
932-029-R28720-N001-A13-Approved,26666,R28720,932-029,04-03-2021 08:52,Glu,1,13,4915,2.395,29.61,27.41,5.827000000000001,Approved,1.65,0.26,0.5,3.79,161.0,0.4,0.24,,,
932-029-R28713-N008-A15-Approved,26659,R28713,932-029,04-03-2021 08:40,Glu,8,15,798,2.477,30.86,26.54,6.175,Approved,1.38,0.25,2.2,4.09,280.0,3.3,1.04,,,
932-029-R28713-N003-A13-Approved,26659,R28713,932-029,04-03-2021 08:26,Glu,3,13,807,2.5580000000000003,29.97,26.89,6.402,Approved,1.48,0.28,3.7,3.7,371.0,1.7,0.59,,,
932-029-R28713-N002-A11-Approved,26659,R28713,932-029,04-03-2021 08:22,Glu,2,11,810,2.444,28.62,27.51,5.742000000000001,Approved,1.45,0.28,2.3,4.0,312.0,0.8,0.75,,,
932-029-R28713-N001-A9-Approved,26659,R28713,932-029,04-03-2021 08:20,Glu,1,9,811,2.61,28.62,27.49,6.218,Approved,1.48,0.31,0.9,3.97,228.0,0.3,0.61,,,
932-029-R28715-N008-A10-Approved,26661,R28715,932-029,04-03-2021 08:16,Glu,8,10,3221,2.478,29.06,27.42,5.941,Approved,1.78,0.27,0.6,3.37,317.0,1.7,0.57,,,
932-029-R28715-N003-A11-Approved,26661,R28715,932-029,04-03-2021 08:02,Glu,3,11,3251,2.466,29.01,27.12,5.8,Approved,1.88,0.18,0.2,1.86,221.0,1.9,0.38,,,
932-029-R28715-N002-A4-Approved,26661,R28715,932-029,04-03-2021 07:58,Glu,2,4,3252,2.446,29.48,26.98,5.961,Approved,1.9,0.2,0.2,1.69,229.0,2.1,1.44,,,
932-029-R28715-N001-A3-Approved,26661,R28715,932-029,04-03-2021 07:56,Glu,1,3,3256,2.504,29.5,26.95,5.8039999999999985,Approved,1.82,0.15,0.2,1.84,73.0,2.6,2.6,,,
932-029-R28680-N008-A3-Approved,26626,R28680,932-029,03-03-2021 21:06,Glu,8,3,3341,2.48,32.67,25.98,6.182,Approved,1.62,0.31,0.4,4.44,78.0,0.6,0.68,,,
932-029-R28680-N003-A3-Approved,26626,R28680,932-029,03-03-2021 20:50,Glu,3,3,3403,2.545,34.47,25.53,6.457999999999998,Approved,1.63,0.27,0.6,3.58,166.0,1.6,1.35,,,
932-029-R28680-N002-A13-Approved,26626,R28680,932-029,03-03-2021 20:48,Glu,2,13,3404,2.414,34.31,25.55,6.1320000000000014,Approved,1.7,0.26,0.4,4.6,52.0,0.1,0.48,,,
932-029-R28680-N001-A15-Approved,26626,R28680,932-029,03-03-2021 20:44,Glu,1,15,3416,2.326,34.57,25.59,6.174,Approved,1.62,0.3,0.5,3.83,10.0,0.3,0.06,,,
932-029-R28677-N008-A10-Approved,26623,R28677,932-029,03-03-2021 20:42,Glu,8,10,5350,2.579,33.89,25.64,5.1789999999999985,Approved,1.63,0.18,0.4,2.95,54.0,0.5,1.06,,,
932-029-R28677-N003-A6-Approved,26623,R28677,932-029,03-03-2021 20:26,Glu,3,6,5367,2.75,31.16,26.42,5.937,Approved,1.63,0.22,0.1,3.74,10.0,0.5,0.76,,,
932-029-R28677-N002-A10-Approved,26623,R28677,932-029,03-03-2021 20:24,Glu,2,10,5367,2.575,30.22,26.49,6.183,Approved,1.6,0.18,0.1,1.93,174.0,3.0,0.98,,,
932-029-R28677-N001-A2-Approved,26623,R28677,932-029,03-03-2021 20:20,Glu,1,2,5369,2.8,29.23,26.81,5.897,Approved,1.68,0.35,0.5,4.03,193.0,0.2,0.73,,,
932-029-R28717-N008-A7-Approved,26663,R28717,932-029,03-03-2021 18:08,Glu,8,7,4464,2.535,32.12,25.89,5.8279999999999985,Approved,1.55,0.24,2.3,4.16,260.0,0.0,0.22,,,
932-029-R28717-N003-A4-Approved,26663,R28717,932-029,03-03-2021 17:54,Glu,3,4,4475,2.483,30.84,26.72,5.106,Approved,1.57,0.16,0.7,2.52,59.0,0.0,0.75,,,
932-029-R28717-N002-A2-Approved,26663,R28717,932-029,03-03-2021 17:50,Glu,2,2,4477,2.514,30.57,26.79,6.051,Approved,1.58,0.21,0.8,1.98,157.0,0.3,1.37,,,
932-029-R28717-N001-A12-Approved,26663,R28717,932-029,03-03-2021 17:48,Glu,1,12,4481,2.489,30.64,26.79,5.722,Approved,1.58,0.19,1.6,4.0,221.0,0.0,0.05,,,
932-029-R28707-N008-A5-Approved,26653,R28707,932-029,03-03-2021 17:44,Glu,8,5,930,2.532,31.04,26.77,5.707999999999998,Approved,1.98,0.24,1.5,3.18,214.0,0.5,0.13,,,
932-029-R28707-N003-A14-Approved,26653,R28707,932-029,03-03-2021 17:30,Glu,3,14,984,2.552,30.69,26.61,5.497999999999998,Approved,2.03,0.24,1.2,4.16,126.0,0.2,0.07,,,
932-029-R28707-N002-A10-Approved,26653,R28707,932-029,03-03-2021 17:26,Glu,2,10,985,2.457,30.93,26.58,5.777,Approved,1.97,0.23,1.0,4.21,281.0,0.6,0.03,,,
932-029-R28707-N001-A1-Approved,26653,R28707,932-029,03-03-2021 17:24,Glu,1,1,987,2.518,31.38,26.58,5.941,Approved,2.02,0.26,1.0,3.19,255.0,1.6,0.61,,,
932-029-R28678-N008-A10-Approved,26624,R28678,932-029,03-03-2021 15:52,Glu,8,10,2007,2.708,32.41,25.99,6.555,Approved,1.7,0.32,0.3,2.98,187.0,1.0,0.05,,,
932-029-R28678-N003-A13-Approved,26624,R28678,932-029,03-03-2021 15:38,Glu,3,13,2024,2.847,31.19,26.15,6.5070000000000014,Approved,1.73,0.25,0.1,4.27,142.0,0.5,0.39,,,
932-029-R28678-N002-A14-Approved,26624,R28678,932-029,03-03-2021 15:34,Glu,2,14,2026,2.5340000000000003,32.09,25.96,6.61,Approved,1.67,0.24,0.2,4.08,218.0,0.6,0.68,,,
932-029-R28678-N001-A6-Approved,26624,R28678,932-029,03-03-2021 15:32,Glu,1,6,2028,2.676,32.51,25.73,6.894,Approved,1.73,0.23,2.0,4.17,376.0,6.0,0.57,,,
932-029-R28681-N008-A8-Approved,26627,R28681,932-029,03-03-2021 15:28,Glu,8,8,2936,2.475,33.04,25.3,6.408,Approved,1.62,0.27,0.0,3.43,101.0,0.6,0.26,,,
932-029-R28681-N003-A6-Approved,26627,R28681,932-029,03-03-2021 15:14,Glu,3,6,2944,2.592,30.45,26.54,6.5,Approved,1.62,0.23,0.4,4.64,3.0,0.3,0.7,,,
932-029-R28681-N002-A2-Approved,26627,R28681,932-029,03-03-2021 15:10,Glu,2,2,2945,2.58,30.76,26.59,6.085,Approved,1.63,0.25,0.2,4.51,26.0,0.6,0.49,,,
932-029-R28681-N001-A15-Approved,26627,R28681,932-029,03-03-2021 15:08,Glu,1,15,2948,2.579,30.96,26.59,6.033,Approved,1.58,0.23,0.6,4.29,214.0,0.0,0.46,,,
932-029-R28659-N008-A7-Approved,26540,R28659,932-029,03-03-2021 15:04,Glu,8,7,994,2.396,31.04,26.66,5.909,Approved,1.37,0.23,0.3,2.67,187.0,1.9,1.25,,,
932-029-R28659-N001-A13-Approved,26540,R28659,932-029,03-03-2021 14:44,Glu,1,13,1063,2.4,30.66,26.95,5.857,Approved,1.42,0.25,1.0,4.04,165.0,0.7,0.51,,,
932-029-R28698-N008-A2-Approved,26644,R28698,932-029,03-03-2021 14:40,Glu,8,2,890,2.662,30.76,26.95,6.374,Approved,1.4,0.42,0.6,3.02,296.0,2.1,1.14,,,
932-029-R28698-N003-A8-Approved,26644,R28698,932-029,03-03-2021 14:26,Glu,3,8,905,2.441,29.98,26.91,6.061,Approved,1.53,0.29,0.0,1.36,87.0,1.6,4.05,,,
932-029-R28698-N002-A10-Approved,26644,R28698,932-029,03-03-2021 14:22,Glu,2,10,907,2.6710000000000003,29.98,26.91,5.712999999999999,Approved,1.42,0.19,0.4,1.62,50.0,1.6,5.19,,,
932-029-R28698-N001-A16-Approved,26644,R28698,932-029,03-03-2021 14:18,Glu,1,16,906,2.552,30.32,26.91,5.329,Approved,1.42,0.34,0.9,4.04,220.0,0.3,0.71,,,
932-029-R28690-N008-A3-Approved,26636,R28690,932-029,03-03-2021 11:06,Glu,8,3,3456,2.6630000000000003,29.75,27.39,5.494,Approved,1.63,0.27,0.4,3.68,183.0,0.8,0.01,,,
932-029-R28690-N003-A1-Approved,26636,R28690,932-029,03-03-2021 10:52,Glu,3,1,3450,2.88,29.61,27.46,5.332999999999998,Approved,1.75,0.29,0.2,4.0,153.0,0.8,0.1,,,
932-029-R28690-N002-A5-Approved,26636,R28690,932-029,03-03-2021 10:48,Glu,2,5,3448,2.773,29.55,27.44,5.835,Approved,1.65,0.32,0.0,2.64,247.0,1.4,0.71,,,
932-029-R28690-N001-A3-Approved,26636,R28690,932-029,03-03-2021 10:46,Glu,1,3,3450,2.655,29.34,27.48,5.824,Approved,1.7,0.32,1.0,4.39,296.0,0.2,0.71,,,
932-029-R28721-N008-A3-Approved,26667,R28721,932-029,03-03-2021 10:18,Glu,8,3,1218,2.5839999999999996,29.31,27.58,5.5329999999999995,Approved,5.5,0.21,0.8,,,0.6,,4.48,23.0,0.67
932-029-R28721-N003-A4-Approved,26667,R28721,932-029,03-03-2021 10:04,Glu,3,4,1215,2.594,28.89,27.78,5.608,Approved,5.75,0.11,0.1,,,0.2,,1.67,260.0,1.72
932-029-R28721-N002-A5-Approved,26667,R28721,932-029,03-03-2021 10:00,Glu,2,5,1218,2.479,28.79,27.81,5.479,Approved,5.45,0.23,0.9,,,0.1,,5.03,68.0,0.25
932-029-R28721-N001-A2-Approved,26667,R28721,932-029,03-03-2021 09:58,Glu,1,2,1218,2.609,28.69,27.81,5.7989999999999995,Approved,5.7,0.11,0.1,,,1.8,,2.37,142.0,3.19
932-029-R28683-N008-A15-Approved,26629,R28683,932-029,03-03-2021 07:38,Glu,8,15,1589,2.573,29.02,26.98,5.425,Approved,2.53,0.26,0.3,,,0.4,,4.26,74.0,0.73
932-029-R28683-N003-A6-Approved,26629,R28683,932-029,03-03-2021 07:22,Glu,3,6,1595,2.7560000000000002,29.21,26.66,5.603,Approved,2.63,0.22,0.1,,,0.3,,3.97,168.0,0.59
932-029-R28683-N002-A9-Approved,26629,R28683,932-029,03-03-2021 07:20,Glu,2,9,1599,2.426,29.34,26.59,5.476,Approved,2.65,0.26,0.2,,,1.7,,3.35,96.0,0.13
932-029-R28683-N001-A3-Approved,26629,R28683,932-029,03-03-2021 07:14,Glu,1,3,1603,2.498,29.73,26.45,6.17,Approved,2.57,0.13,0.5,,,2.0,,1.97,235.0,0.55
932-029-R28673-N008-A14-Approved,26619,R28673,932-029,02-03-2021 13:50,Glu,8,14,1920,2.293,31.97,26.06,5.815,Approved,2.43,0.22,0.3,,,0.1,,4.22,135.0,0.29
932-029-R28673-N003-A7-Approved,26619,R28673,932-029,02-03-2021 13:34,Glu,3,7,1929,2.134,29.95,27.04,5.796,Approved,2.68,0.18,0.3,,,1.8,,1.34,99.0,2.56
932-029-R28673-N002-A15-Approved,26619,R28673,932-029,02-03-2021 13:32,Glu,2,15,1931,2.255,29.95,27.44,4.935,Approved,2.38,0.16,1.0,,,2.6,,2.44,415.0,2.76
932-029-R28673-N001-A3-Approved,26619,R28673,932-029,02-03-2021 13:28,Glu,1,3,1933,2.059,28.77,28.92,5.001,Approved,2.65,0.12,0.8,,,0.1,,1.58,233.0,2.31
932-029-R28590-N008-A14-Approved,26426,R28590,932-029,02-03-2021 13:24,Glu,8,14,1120,1.885,28.7,28.89,5.831,Approved,5.6,0.22,1.6,,,2.8,,3.22,294.0,1.29
932-029-R28590-N003-A5-Approved,26426,R28590,932-029,02-03-2021 13:08,Glu,3,5,1129,1.629,28.84,28.84,6.223,Approved,5.6,0.1,0.5,,,5.3,,0.71,77.0,3.22
932-029-R28590-N002-A14-Approved,26426,R28590,932-029,02-03-2021 13:06,Glu,2,14,1128,1.858,28.84,28.82,5.159,Approved,5.63,0.25,1.5,,,0.2,,4.58,208.0,0.46
932-029-R28590-N001-A16-Approved,26426,R28590,932-029,02-03-2021 13:02,Glu,1,16,1130,1.742,28.91,28.84,5.545,Approved,5.58,0.26,1.4,,,1.1,,3.99,218.0,0.11
932-029-R28679-N008-A2-Approved,26625,R28679,932-029,02-03-2021 13:00,Glu,8,2,879,1.9780000000000002,28.74,28.87,6.2120000000000015,Approved,5.7,0.19,1.3,,,3.4,,2.56,291.0,1.78
932-029-R28679-N003-A15-Approved,26625,R28679,932-029,02-03-2021 12:44,Glu,3,15,883,2.096,28.82,28.64,5.591,Approved,5.73,0.22,2.2,,,0.8,,5.07,298.0,0.27
932-029-R28679-N002-A13-Approved,26625,R28679,932-029,02-03-2021 12:42,Glu,2,13,902,2.451,29.06,28.62,5.612,Approved,5.68,0.21,1.6,,,0.3,,4.63,131.0,0.23
932-029-R28679-N001-A7-Approved,26625,R28679,932-029,02-03-2021 12:36,Glu,1,7,904,2.396,28.81,28.57,6.409,Approved,5.73,0.17,0.9,,,1.0,,3.33,300.0,0.96
932-029-R28706-N008-A12-Approved,26652,R28706,932-029,02-03-2021 10:22,Glu,8,12,2181,2.544,28.42,28.77,5.6960000000000015,Approved,2.7,0.18,0.1,,,1.2,,1.98,115.0,1.64
932-029-R28706-N003-A15-Approved,26652,R28706,932-029,02-03-2021 10:08,Glu,3,15,2172,2.609,28.74,28.54,5.7829999999999995,Approved,2.58,0.23,0.6,,,2.5,,3.54,246.0,0.0
932-029-R28706-N002-A5-Approved,26652,R28706,932-029,02-03-2021 10:04,Glu,2,5,2174,2.647,28.64,28.48,5.7920000000000025,Approved,2.58,0.28,0.5,,,1.0,,4.27,68.0,0.22
932-029-R28706-N001-A7-Approved,26652,R28706,932-029,02-03-2021 10:02,Glu,1,7,2176,2.753,28.54,28.47,6.053999999999999,Approved,2.65,0.31,0.3,,,1.5,,3.22,247.0,0.18
932-029-R28701-N008-A1-Approved,26647,R28701,932-029,02-03-2021 08:24,Glu,8,1,585,2.687,30.4,26.72,6.227,Approved,1.48,0.26,1.9,,,1.6,,4.85,304.0,0.11
932-029-R28701-N003-A11-Approved,26647,R28701,932-029,02-03-2021 08:08,Glu,3,11,586,2.6310000000000002,31.5,26.05,6.246,Approved,1.48,0.21,0.8,,,3.7,,1.51,263.0,0.65
932-029-R28701-N002-A7-Approved,26647,R28701,932-029,02-03-2021 08:06,Glu,2,7,586,2.612,31.08,26.22,5.82,Approved,1.48,0.26,0.8,,,1.1,,4.57,170.0,0.16
932-029-R28701-N001-A9-Approved,26647,R28701,932-029,02-03-2021 08:02,Glu,1,9,586,2.603,30.24,26.84,6.0760000000000005,Approved,1.45,0.23,1.0,,,0.4,,4.68,200.0,0.04
932-029-R28700-N008-A8-Approved,26646,R28700,932-029,02-03-2021 07:58,Glu,8,8,1357,2.3569999999999998,30.4,26.81,5.452999999999999,Approved,1.48,0.23,0.2,,,3.3,,2.42,59.0,2.44
932-029-R28700-N003-A3-Approved,26646,R28700,932-029,02-03-2021 07:42,Glu,3,3,1360,2.673,30.07,26.43,5.785,Approved,1.48,0.23,0.3,,,0.3,,3.74,114.0,0.24
932-029-R28700-N002-A1-Approved,26646,R28700,932-029,02-03-2021 07:40,Glu,2,1,1360,2.705,30.34,26.42,6.619,Approved,1.45,0.23,1.1,,,5.0,,3.38,347.0,0.45
932-029-R28700-N001-A10-Approved,26646,R28700,932-029,02-03-2021 07:36,Glu,1,10,1359,2.7060000000000004,30.4,26.28,6.041,Approved,1.47,0.28,0.8,,,1.1,,3.14,231.0,0.96
932-029-R28699-N008-A11-Approved,26645,R28699,932-029,02-03-2021 07:32,Glu,8,11,1345,2.542,30.29,26.21,5.89,Approved,5.45,0.2,2.3,,,0.1,,5.13,162.0,0.25
932-029-R28699-N003-A10-Approved,26645,R28699,932-029,02-03-2021 07:16,Glu,3,10,1348,2.617,30.49,25.82,6.162999999999999,Approved,5.43,0.14,0.2,,,3.0,,0.04,119.0,3.76
932-029-R28699-N002-A14-Approved,26645,R28699,932-029,02-03-2021 07:06,Glu,2,14,1349,2.745,31.01,25.53,5.777,Approved,5.63,0.18,0.3,,,3.2,,2.59,21.0,3.39
932-029-R28699-N001-A2-Approved,26645,R28699,932-029,02-03-2021 07:02,Glu,1,2,1348,2.648,31.48,25.43,6.381,Approved,5.73,0.07,0.4,,,4.0,,2.21,74.0,6.22
932-029-R28667-N008-A15-Approved,26613,R28667,932-029,01-03-2021 18:02,Glu,8,15,4013,2.6510000000000002,32.78,24.95,6.522,Approved,5.55,0.25,2.0,,,1.9,,3.86,309.0,0.59
932-029-R28667-N003-A4-Approved,26613,R28667,932-029,01-03-2021 17:46,Glu,3,4,4030,2.6460000000000004,32.37,25.62,5.401,Approved,5.48,0.21,1.2,,,0.2,,4.17,170.0,0.59
932-029-R28667-N002-A7-Approved,26613,R28667,932-029,01-03-2021 17:44,Glu,2,7,4030,2.5860000000000003,31.72,25.94,6.035,Approved,5.7,0.25,1.4,,,1.1,,3.91,250.0,0.21
932-029-R28667-N001-A3-Approved,26613,R28667,932-029,01-03-2021 17:38,Glu,1,3,4032,2.342,31.18,26.35,5.57,Approved,5.53,0.3,0.9,,,0.5,,3.38,211.0,0.35
932-029-R28627-N008-A1-Approved,26493,R28627,932-029,25-02-2021 22:18,Glu,8,1,3031,2.708,30.62,26.52,7.09,Approved,1.28,0.26,0.9,,,7.2,,3.03,367.0,0.93
932-029-R28627-N003-A9-Approved,26493,R28627,932-029,25-02-2021 22:02,Glu,3,9,3050,2.677,30.39,26.19,6.318,Approved,1.33,0.28,0.0,,,2.1,,2.8,190.0,0.16
932-029-R28627-N002-A12-Approved,26493,R28627,932-029,25-02-2021 22:00,Glu,2,12,3053,2.58,30.62,26.13,5.992000000000001,Approved,1.27,0.27,0.7,,,0.6,,4.42,288.0,0.7
932-029-R28627-N001-A6-Approved,26493,R28627,932-029,25-02-2021 21:56,Glu,1,6,3058,2.679,31.16,26.05,6.83,Approved,1.32,0.33,0.8,,,2.4,,3.69,370.0,0.02
